review_id,sentence_idx,sentence,product_name,rating,pred_label_review,pred_label,pred_label_string,is_negative,is_positive,prob_negative,prob_weak_negative,prob_weak_positive,prob_positive
820835950,0,박스가 다 구겨지고 뜯겨있음,iphone_17,1,0,0,negative,True,False,0.67851424,0.24650592,0.06639776,0.008582112
820835950,1,얼마나 박스를 발로 밟았는지 던졌는지 다 찌그러져 있고 심지어 박스 밀봉도 심하게 뜯겨 있어서 내용물이 다 보이네요,iphone_17,1,0,0,negative,True,False,0.95145476,0.029363444,0.013017914,0.006163819
820835950,2,"심지어 아이폰 박스도 한면이 검게 떼타있음

뿐만 아니라 이런 고가 전자기기를 배송하는데 사전에 통화나 문자도 전혀 없었서 쿠팡앱 들어가서 사진 덩그러니 하나 있는거 보고 배송된줄 알았네요",iphone_17,1,0,0,negative,True,False,0.7281636,0.21043842,0.05107338,0.010324584
820835950,3,너무너무너무너무 실망 스러워서 반품 시켜야 하나 고민 중인데 반품 해도 중간에 누가 인터셉트 해가진 않을까 너무 우려되네요,iphone_17,1,0,0,negative,True,False,0.8264048,0.15499392,0.011994992,0.0066063157
820835950,4,이런 상태로 배송온 제품이 기기 결함이 없는게 더 이상할것 같아서 아이폰 매장가서 환불하거나 교환할 생각입니다,iphone_17,1,0,0,negative,True,False,0.92578506,0.049302094,0.018608736,0.0063040727
820835950,5,이거 배송 업체 패널티 보상해주셔야 해요,iphone_17,1,0,0,negative,True,False,0.9498762,0.030393537,0.013991574,0.0057387324
820835950,6,쿠팡에서 자급자제 아이폰 특히나 신형 구매하는것 엄청나게 후회하고 비추천합니다,iphone_17,1,0,1,weak_negative,True,False,0.33359706,0.62183285,0.034799937,0.009770138
770511123,0,전자기기를 이렇게 포장하시면 어떡합니까  12프로도 쿠팡에서 구매했었고 이렇게까지 엉망으로 오진 않았는데 찌그러진 박스에 뽁뽁이 하나 안감싸진 아이폰 상자보고 너무 어이없었네요..........,iphone_17,1,0,0,negative,True,False,0.95482975,0.02939989,0.009973257,0.00579705
770511123,1,9월말 현재 오프라인에서는 아이폰17 구매가 불가능한 상황이라 어렵게어렵게 쿠팡에서 구매한건데 기계문제는 없겠죠?,iphone_17,1,0,2,weak_positive,False,True,0.02265386,0.17844036,0.43688262,0.3620232
770511123,2,(제발...)  정말 속상하네요ㅠ,iphone_17,1,0,0,negative,True,False,0.59967506,0.3762936,0.01652273,0.0075085973
770511123,3,알아보니 몇년전부터 포장이 엉망인 상태로 배송되고 있는거 같은데 이거 개선하지 않으면 안될듯하네요,iphone_17,1,0,0,negative,True,False,0.60825396,0.36822298,0.01812855,0.0053945393
770511123,4,와우멤버십 사용중이라 그런지 새벽에 배송된건 좋았지만 너무 속상한 마음에 후기 남깁니다,iphone_17,1,0,1,weak_negative,True,False,0.060031474,0.71759856,0.20019071,0.02217925
864032593,0,아이폰 17 정말 실망입니다,iphone_17,1,0,0,negative,True,False,0.4935854,0.47938225,0.020707699,0.00632459
864032593,1,아이폰 11 쓰다가 정말 오랜만에 17 구매했어요.,iphone_17,1,0,3,positive,False,True,0.005678242,0.007100649,0.08666271,0.9005584
864032593,2,"1,2년도 아니고 11에서 17이면 정말 갭이 크죠",iphone_17,1,0,1,weak_negative,True,False,0.048134997,0.6152263,0.30968252,0.026956126
864032593,3,그래서 크게 뭔가 다른게 있겠지,iphone_17,1,0,1,weak_negative,True,False,0.10593324,0.62783295,0.24883735,0.017396394
864032593,4,"나도 변한게 없내요


1. 디자인
언제까지 이 디자인 고집할건지 배짱 장사 지겹습니다
17프로 디자인은 도저히 아닌거 같아서 17 샀는데
디자인 혁신은 더이상 애플에게 기대하긴 어렵습니다",iphone_17,1,0,1,weak_negative,True,False,0.4134509,0.56388104,0.015546033,0.007122107
864032593,5,"2. 성능
빨라지긴 했지만 그게 11에 비해서 놀랍도록
빨라졌냐고 물어보면 그건 전혀 아니에요",iphone_17,1,0,1,weak_negative,True,False,0.03382463,0.82259256,0.12978777,0.01379502
864032593,6,일반사용자가 체감으로 느꼈을땐 그냥 그래요,iphone_17,1,0,1,weak_negative,True,False,0.023541205,0.728878,0.22329862,0.024282131
864032593,7,"3. 배터리
사용량에 따라서 다르지만 하루에 한번 충전하면 됩니다",iphone_17,1,0,2,weak_positive,False,True,0.018274834,0.4208527,0.5247099,0.03616263
