review_id,sentence_idx,sentence,product_name,rating,pred_label_review,pred_label,pred_label_string,is_negative,prob_negative,prob_weak_negative,prob_weak_positive,prob_positive
820835950,0,박스가 다 구겨지고 뜯겨있음,iphone_17,1,0,1,weak_negative,True,0.31346327,0.5626464,0.118313365,0.0055769547
820835950,1,얼마나 박스를 발로 밟았는지 던졌는지 다 찌그러져 있고 심지어 박스 밀봉도 심하게 뜯겨 있어서 내용물이 다 보이네요,iphone_17,1,0,1,weak_negative,True,0.3024018,0.5951879,0.092969805,0.009440501
820835950,2,"심지어 아이폰 박스도 한면이 검게 떼타있음

뿐만 아니라 이런 고가 전자기기를 배송하는데 사전에 통화나 문자도 전혀 없었서 쿠팡앱 들어가서 사진 덩그러니 하나 있는거 보고 배송된줄 알았네요",iphone_17,1,0,0,negative,True,0.88378483,0.083069056,0.027062807,0.006083416
820835950,3,너무너무너무너무 실망 스러워서 반품 시켜야 하나 고민 중인데 반품 해도 중간에 누가 인터셉트 해가진 않을까 너무 우려되네요,iphone_17,1,0,0,negative,True,0.738267,0.16121745,0.076464094,0.024051497
820835950,4,이런 상태로 배송온 제품이 기기 결함이 없는게 더 이상할것 같아서 아이폰 매장가서 환불하거나 교환할 생각입니다,iphone_17,1,0,0,negative,True,0.7659766,0.16474357,0.058140125,0.01113971
820835950,5,이거 배송 업체 패널티 보상해주셔야 해요,iphone_17,1,0,0,negative,True,0.80267024,0.1024026,0.07813899,0.016788151
820835950,6,쿠팡에서 자급자제 아이폰 특히나 신형 구매하는것 엄청나게 후회하고 비추천합니다,iphone_17,1,0,0,negative,True,0.56956315,0.26851982,0.092070624,0.069846444
770511123,0,전자기기를 이렇게 포장하시면 어떡합니까  12프로도 쿠팡에서 구매했었고 이렇게까지 엉망으로 오진 않았는데 찌그러진 박스에 뽁뽁이 하나 안감싸진 아이폰 상자보고 너무 어이없었네요..........,iphone_17,1,0,0,negative,True,0.63055295,0.26367566,0.09135756,0.014413811
770511123,1,9월말 현재 오프라인에서는 아이폰17 구매가 불가능한 상황이라 어렵게어렵게 쿠팡에서 구매한건데 기계문제는 없겠죠?,iphone_17,1,0,3,positive,False,0.023862058,0.027791776,0.34429494,0.60405123
770511123,2,(제발...)  정말 속상하네요ㅠ,iphone_17,1,0,1,weak_negative,True,0.20849194,0.47198683,0.2519881,0.06753315
770511123,3,알아보니 몇년전부터 포장이 엉망인 상태로 배송되고 있는거 같은데 이거 개선하지 않으면 안될듯하네요,iphone_17,1,0,0,negative,True,0.5102609,0.40256268,0.07728005,0.009896386
