review_id,sentence_idx,sentence,product_name,rating,pred_label_review,pred_label,pred_label_string,is_negative,prob_negative,prob_weak_negative,prob_weak_positive,prob_positive,cluster
820835950,0,박스가 다 구겨지고 뜯겨있음,iphone_17,1,0,1,weak_negative,True,0.31346327,0.5626464,0.118313365,0.0055769547,1
820835950,1,얼마나 박스를 발로 밟았는지 던졌는지 다 찌그러져 있고 심지어 박스 밀봉도 심하게 뜯겨 있어서 내용물이 다 보이네요,iphone_17,1,0,1,weak_negative,True,0.3024018,0.5951879,0.092969805,0.009440501,1
820835950,2,"심지어 아이폰 박스도 한면이 검게 떼타있음

뿐만 아니라 이런 고가 전자기기를 배송하는데 사전에 통화나 문자도 전혀 없었서 쿠팡앱 들어가서 사진 덩그러니 하나 있는거 보고 배송된줄 알았네요",iphone_17,1,0,0,negative,True,0.88378483,0.083069056,0.027062807,0.006083416,1
820835950,3,너무너무너무너무 실망 스러워서 반품 시켜야 하나 고민 중인데 반품 해도 중간에 누가 인터셉트 해가진 않을까 너무 우려되네요,iphone_17,1,0,0,negative,True,0.738267,0.16121745,0.076464094,0.024051497,1
820835950,4,이런 상태로 배송온 제품이 기기 결함이 없는게 더 이상할것 같아서 아이폰 매장가서 환불하거나 교환할 생각입니다,iphone_17,1,0,0,negative,True,0.7659766,0.16474357,0.058140125,0.01113971,1
820835950,5,이거 배송 업체 패널티 보상해주셔야 해요,iphone_17,1,0,0,negative,True,0.80267024,0.1024026,0.07813899,0.016788151,1
820835950,6,쿠팡에서 자급자제 아이폰 특히나 신형 구매하는것 엄청나게 후회하고 비추천합니다,iphone_17,1,0,0,negative,True,0.56956315,0.26851982,0.092070624,0.069846444,1
770511123,0,전자기기를 이렇게 포장하시면 어떡합니까  12프로도 쿠팡에서 구매했었고 이렇게까지 엉망으로 오진 않았는데 찌그러진 박스에 뽁뽁이 하나 안감싸진 아이폰 상자보고 너무 어이없었네요..........,iphone_17,1,0,0,negative,True,0.63055295,0.26367566,0.09135756,0.014413811,1
770511123,2,(제발...)  정말 속상하네요ㅠ,iphone_17,1,0,1,weak_negative,True,0.20849194,0.47198683,0.2519881,0.06753315,2
770511123,3,알아보니 몇년전부터 포장이 엉망인 상태로 배송되고 있는거 같은데 이거 개선하지 않으면 안될듯하네요,iphone_17,1,0,0,negative,True,0.5102609,0.40256268,0.07728005,0.009896386,1
864032593,0,아이폰 17 정말 실망입니다,iphone_17,1,0,1,weak_negative,True,0.24265459,0.5428324,0.15402338,0.060489673,3
864032593,2,"1,2년도 아니고 11에서 17이면 정말 갭이 크죠",iphone_17,1,0,0,negative,True,0.42505163,0.36989704,0.18101111,0.024040202,2
864032593,3,그래서 크게 뭔가 다른게 있겠지,iphone_17,1,0,1,weak_negative,True,0.220692,0.5126895,0.22201023,0.044608314,2
864032593,4,"나도 변한게 없내요


1. 디자인
언제까지 이 디자인 고집할건지 배짱 장사 지겹습니다
17프로 디자인은 도저히 아닌거 같아서 17 샀는데
디자인 혁신은 더이상 애플에게 기대하긴 어렵습니다",iphone_17,1,0,0,negative,True,0.42654043,0.3295206,0.16009772,0.08384127,3
864032593,5,"2. 성능
빨라지긴 했지만 그게 11에 비해서 놀랍도록
빨라졌냐고 물어보면 그건 전혀 아니에요",iphone_17,1,0,0,negative,True,0.3517794,0.25971425,0.31410885,0.07439754,2
864032593,6,일반사용자가 체감으로 느꼈을땐 그냥 그래요,iphone_17,1,0,1,weak_negative,True,0.06306641,0.66139656,0.25590608,0.01963097,2
864032593,10,"4. 카메라
카메라 빵점 드려요.",iphone_17,1,0,0,negative,True,0.701612,0.20610952,0.077768564,0.014509972,4
864032593,12,처음에 뽑기를 잘 못했나 고장인가 반품할까 몇주를 고민했어요,iphone_17,1,0,0,negative,True,0.41104287,0.3677837,0.20815545,0.013017968,1
864032593,15,"그럼에도 반품 안하고 그냥 쓰는 이유는 반품 교환하는 시간도
아깝고 카메라 고질병은 어떤걸 받아도 똑같을것 같아서이지",iphone_17,1,0,0,negative,True,0.5633999,0.26466733,0.14654261,0.02539011,1
864032593,16,"제품이 마음에 드는건 아니에요, 100 넘게 주고 사는데
불량 검수도 소비자가 해야된다는것도 신물나고 이 다음에
휴대폰 구매는 정말 삼성 브랜드로 가야겠단 생각이 굳어져요",iphone_17,1,0,0,negative,True,0.43328634,0.4053488,0.12085174,0.040513124,3
